title,group,description,key,active,has_outrights
NCAAF Championship Winner,American Football,US College Football Championship Winner,americanfootball_ncaaf_championship_winner,True,True
NFL Super Bowl Winner,American Football,Super Bowl Winner 2024/2025,americanfootball_nfl_super_bowl_winner,True,True
MLB World Series Winner,Baseball,World Series Winner 2025,baseball_mlb_world_series_winner,True,True
NBA Championship Winner,Basketball,Championship Winner 2024/2025,basketball_nba_championship_winner,True,True
NCAAB Championship Winner,Basketball,US College Basketball Championship Winner,basketball_ncaab_championship_winner,True,True
Masters Tournament Winner,Golf,2025 Winner,golf_masters_tournament_winner,True,True
PGA Championship Winner,Golf,2025 Winner,golf_pga_championship_winner,True,True
The Open Winner,Golf,2025 Winner,golf_the_open_championship_winner,True,True
US Open Winner,Golf,2025 Winner,golf_us_open_winner,True,True
NHL Championship Winner,Ice Hockey,Stanley Cup Winner 2024/2025,icehockey_nhl_championship_winner,True,True
FIFA World Cup Winner,Soccer,FIFA World Cup Winner 2026,soccer_fifa_world_cup_winner,True,True
